Bounty ID,Type,Source,Connector,Bounty Amount,Denomination,Bounty Status,Issue Link
5915,Bug: P3,Foundation,,"10,000",HBOT,Closed,https://github.com/hummingbot/hummingbot/issues/5915
5890,Bug: P2,Foundation,,"50,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5890
5833,Bug: P2,Foundation,,"50,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5833
5813,Bug: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5813
5800,Bug: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5800
5756,Bug: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5756
5696,Bug: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5696
5695,Bug: P2,Foundation,,"50,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5695
5693,Bug: P2,Foundation,,"50,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5693
5676,Bug: P2,Foundation,,"50,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5676
5672,Bug: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5672
5667,Bug: P2,Foundation,,"50,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5667
5657,Bug: P2,Foundation,,"50,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5657
5656,Bug: P2,Foundation,,"50,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5656
5654,Bug: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5654
5625,Bug: P2,Foundation,,0,HBOT,Closed,https://github.com/hummingbot/hummingbot/issues/5625
5617,Bug: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5617
5602,Bug: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5602
5601,Bug: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5601
5591,Bug: P3,Foundation,,"10,000",HBOT,Closed,https://github.com/hummingbot/hummingbot/issues/5591
5590,Bug: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5590
5582,Bug: P2,Foundation,,"50,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5582
5581,Bug: P3,Foundation,,"10,000",HBOT,Closed,https://github.com/hummingbot/hummingbot/issues/5581
5578,Bug: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5578
5577,Bug: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5577
5545,Bug: P2,Foundation,,"50,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5545
5476,Bug: P2,Foundation,,"50,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5476
5240,Bug: P2,Foundation,,"50,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5240
5220,Bug: P2,Foundation,,"50,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5220
5217,Bug: P3,Foundation,,"10,000",HBOT,Closed,https://github.com/hummingbot/hummingbot/issues/5217
5211,Bug: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5211
5190,Bug: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5190
5180,Bug: P3,Foundation,,"10,000",HBOT,Closed,https://github.com/hummingbot/hummingbot/issues/5180
5115,Bug: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5115
5076,Bug: P2,Foundation,,"50,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5076
5074,Bug: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5074
5068,Bug: P2,Foundation,,"50,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5068
